key,0,1,2,3,4
#,Image,Icon,UnlockCondition,SortKey,Name
int32,Image,Image,BannerCondition,uint16,str
0,,"ui/icon/082000/082091.tex","BannerCondition#0",0,"无"
1,"ui/icon/190000/190002.tex","ui/icon/082000/082091.tex","BannerCondition#1",1,"灰色"
2,"ui/icon/190000/190003.tex","ui/icon/082000/082091.tex","BannerCondition#1",3,"四边形"
3,"ui/icon/190000/190004.tex","ui/icon/082000/082091.tex","BannerCondition#1",4,"紫色"
4,"ui/icon/190000/190005.tex","ui/icon/082000/082091.tex","BannerCondition#1",5,"渐变色：防护职业"
5,"ui/icon/190000/190006.tex","ui/icon/082000/082091.tex","BannerCondition#1",7,"渐变色：进攻职业"
6,"ui/icon/190000/190007.tex","ui/icon/082000/082091.tex","BannerCondition#1",6,"渐变色：治疗职业"
7,"ui/icon/190000/190008.tex","ui/icon/082000/082091.tex","BannerCondition#1",2,"羊皮纸"
8,"ui/icon/190000/190009.tex","ui/icon/082000/082091.tex","BannerCondition#1",9,"以太空间"
9,"ui/icon/190000/190010.tex","ui/icon/082000/082091.tex","BannerCondition#1",8,"木制隔板"
10,"ui/icon/190000/190011.tex","ui/icon/082000/082091.tex","BannerCondition#1",10,"虚无界空间"
11,"ui/icon/190000/190301.tex","ui/icon/082000/082091.tex","BannerCondition#124",2150,"骑士（华丽）"
12,"ui/icon/190000/190302.tex","ui/icon/082000/082091.tex","BannerCondition#125",2151,"战士（华丽）"
13,"ui/icon/190000/190303.tex","ui/icon/082000/082091.tex","BannerCondition#126",2152,"暗黑骑士（华丽）"
14,"ui/icon/190000/190304.tex","ui/icon/082000/082091.tex","BannerCondition#127",2153,"绝枪战士（华丽）"
15,"ui/icon/190000/190305.tex","ui/icon/082000/082091.tex","BannerCondition#128",2154,"白魔法师（华丽）"
16,"ui/icon/190000/190306.tex","ui/icon/082000/082091.tex","BannerCondition#129",2155,"学者（华丽）"
17,"ui/icon/190000/190307.tex","ui/icon/082000/082091.tex","BannerCondition#130",2156,"占星术士（华丽）"
18,"ui/icon/190000/190308.tex","ui/icon/082000/082091.tex","BannerCondition#131",2157,"贤者（华丽）"
19,"ui/icon/190000/190309.tex","ui/icon/082000/082091.tex","BannerCondition#132",2158,"武僧（华丽）"
20,"ui/icon/190000/190310.tex","ui/icon/082000/082091.tex","BannerCondition#133",2159,"龙骑士（华丽）"
21,"ui/icon/190000/190311.tex","ui/icon/082000/082091.tex","BannerCondition#134",2160,"忍者（华丽）"
22,"ui/icon/190000/190312.tex","ui/icon/082000/082091.tex","BannerCondition#135",2161,"武士（华丽）"
23,"ui/icon/190000/190313.tex","ui/icon/082000/082091.tex","BannerCondition#136",2162,"钐镰客（华丽）"
