key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,UnlockType1,UnlockCriteria1[0],UnlockCriteria1[1],UnlockCriteria1[2],UnlockCriteria1[3],UnlockCriteria1[4],UnlockCriteria1[5],UnlockType2,UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,PrerequisiteType,Prerequisite,UnlockHint,
int32,byte,Row,Row,Row,Row,Row,Row,byte,Row,Row,Row,byte,Row,BannerObtainHintType,bit&01
0,0,,,,,,,0,,,,0,,"",False
1,10,,,,,,,1,,,,0,,"",False
2,5,"表情：咧嘴",,,,,,16,,,,1,"前往游乐场","推进“重生之境”的支线任务进度后解锁获取条件",False
3,5,"表情：沉思",,,,,,5,"演技教材·沉思",,,1,"英雄之卵","推进“重生之境”的主线任务进度后解锁获取条件",False
4,5,"表情：思索",,,,,,2,"拂晓的少年",,,1,"月下芳华","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
5,5,"表情：忍耐",,,,,,2,"响彻于拂晓之声",,,1,"楔石洞","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
6,5,"行东方礼",,,,,,2,"失去斗志的协助者",,,1,"奥萨德次大陆","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
7,5,"打招呼",,,,,,2,"千里急报",,,1,"英雄归来","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
8,5,"帝国式军礼",,,,,,2,"另一类军礼",,,1,"变装潜入作战","推进“重生之境”的主线任务进度后解锁获取条件",False
9,5,"啦哩吼",,,,,,2," 啦哩吼！！",,,1," 打招呼的特训！","推进“暗影之逆焰”的支线任务进度后解锁获取条件",False
10,5,"准备战斗",,,,,,2,"命运的齿轮",,,1,"向着光明的未来","推进“苍穹之禁城”的主线任务进度后解锁获取条件",False
11,5,"欢呼胜利",,,,,,2,"四国联合军演",,,1,"心灵的选择","推进“苍穹之禁城”的主线任务进度后解锁获取条件",False
12,5,"太棒了！",,,,,,2,"友人的微笑",,,1,"历历在目","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
13,0,,,,,,,0,,,,0,,"",False
14,5,"投掷",,,,,,2,"冬日的活动",,,0,,"",False
15,5,"托眼镜",,,,,,2,"匿名信疑云",,,1,"传承的使命","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
16,5,"嘘",,,,,,2,"死斗至黎明",,,1,"萨雷安来使","推进“暗影之逆焰”的主线任务进度后解锁获取条件",False
17,5,"踢踏舞",,,,,,2,"快乐的律动之舞",,,1,"快乐的律动之舞","推进“重生之境”的支线任务进度后解锁获取条件",False
18,5,"丰饶之舞",,,,,,2,"为谁而舞",,,1,"为谁而舞","推进“重生之境”的支线任务进度后解锁获取条件",False
19,5,"宫廷之舞",,,,,,2,"舞女的梦想舞台",,,1,"舞女的梦想舞台","推进“重生之境”的支线任务进度后解锁获取条件",False
20,5,"绅士之舞",,,,,,2,"白发鬼",,,1,"最初的预告函","推进“重生之境”的支线任务进度后解锁获取条件",False
21,0,,,,,,,0,,,,0,,"",False
22,5,"太阳之舞",,,,,,2," 敬畏之人",,,1," 通往友好的宴会","推进“苍穹之禁城”的友好部族任务进度后解锁获取条件",False
23,5,"日月之舞",,,,,,2,"伊修加德的盟友们",,,1,"日月之舞","推进“苍穹之禁城”的友好部族任务进度后解锁获取条件",False
24,5,"莫古莫古舞",,,,,,2," 击碎岩石的修复团！",,,1," 打造石像的修复团！","推进“苍穹之禁城”的友好部族任务进度后解锁获取条件",False
25,5,"哼歌",,,,,,2,"朱色慕恋",,,1,"穿越时空的龟","推进“红莲之狂潮”的支线任务进度后解锁获取条件",False
26,5,"绅士舞步",,,,,,2,"最强的男人不会停歇",,,1,"不为人知的证物","推进“红莲之狂潮”的支线任务进度后解锁获取条件",False
27,5,"练拳",,,,,,2,"冒险邀请",,,1,"红莲之狂潮","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
28,5,"深情拥抱",,,,,,2,"天长地久",,,1,"拂晓血盟","",True
29,5,"萨维奈舞",,,,,,16,,,,1,"前往游乐场","推进“重生之境”的支线任务进度后解锁获取条件",False
30,5,"黄金之舞",,,,,,16,,,,1,"前往游乐场","推进“重生之境”的支线任务进度后解锁获取条件",False
31,5,"蜜蜂之舞",,,,,,16,,,,1,"前往游乐场","推进“重生之境”的支线任务进度后解锁获取条件",False
32,5,"头痛",,,,,,19,,,,1,"真正的齐格弗里德","推进“青魔法师”的特职任务进度后解锁获取条件",False
33,5,"害怕",,,,,,22,,,,1,"红莲之狂潮","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
34,5,"单膝跪地",,,,,,22,,,,1,"红莲之狂潮","推进“红莲之狂潮”的主线任务进度后解锁获取条件",False
35,5,"坚持主张",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
36,5,"吃面包",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
37,5,"吃饭团",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
38,5,"看书",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
39,5,"击掌",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
40,5,"背靠",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
41,5,"扫地",,,,,,18,,,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
42,5,"大吃一惊",,,,,,16,,,,1,"前往游乐场","推进“重生之境”的支线任务进度后解锁获取条件",False
43,5,"好热",,,,,,20,,,,1,"深渊的天之御柱","推进“红莲之狂潮”的支线任务进度后解锁获取条件",False
44,5,"巡视",,,,,,23,,,,1,"苍鹰归巢作战","推进“暗影之逆焰”的支线任务进度后解锁获取条件",False
45,5,"诅咒",,,,,,23,,,,1,"苍鹰归巢作战","推进“暗影之逆焰”的支线任务进度后解锁获取条件",False
46,5,"抱拳礼",,,,,,12,"演技教材·抱拳礼",,,0,,"",False
47,0,,,,,,,0,,,,0,,"",False
48,5,"胜利欢呼",,,,,,6,"演技教材·胜利欢呼",,,0,,"",False
49,5,"灵光一现",,,,,,6,"演技教材·灵光一现",,,0,,"",False
50,5,"优雅仙人刺",,,,,,6,"演技教材·优雅仙人刺",,,0,,"",False
51,0,,,,,,,0,,,,0,,"",False
52,0,,,,,,,0,,,,0,,"",False
53,0,,,,,,,0,,,,0,,"",False
54,0,,,,,,,0,,,,0,,"",False
55,0,,,,,,,0,,,,0,,"",False
56,5,"后空翻",,,,,,12,"演技教材·后空翻",,,0,,"",False
57,5,"热身",,,,,,12,"演技教材·热身",,,0,,"",False
58,5,"撒娇",,,,,,12,"演技教材·撒娇",,,0,,"",False
59,0,,,,,,,0,,,,0,,"",False
60,5,"练武",,,,,,12,"演技教材·练武",,,0,,"",False
61,0,,,,,,,0,,,,0,,"",False
62,5,"吃水煮蛋",,,,,,6,"演技教材·吃水煮蛋",,,0,,"",False
63,0,,,,,,,0,,,,0,,"",False
64,5,"疑问",,,,,,6,"演技教材·疑问",,,0,,"",False
65,0,,,,,,,0,,,,0,,"",False
66,5,"火盆舞",,,,,,6,"演技教材·火盆舞",,,0,,"",False
67,5,"战队演武正红一式",,,,,,6,"演技教材·战队演武红一式",,,0,,"",False
68,5,"战队演武逆红一式",,,,,,6,"演技教材·战队演武红一式",,,0,,"",False
69,5,"战队演武正黑二式",,,,,,6,"演技教材·战队演武黑二式",,,0,,"",False
70,5,"战队演武逆黑二式",,,,,,6,"演技教材·战队演武黑二式",,,0,,"",False
71,5,"战队演武正黄三式",,,,,,6,"演技教材·战队演武黄三式",,,0,,"",False
72,5,"战队演武逆黄三式",,,,,,6,"演技教材·战队演武黄三式",,,0,,"",False
73,0,,,,,,,0,,,,0,,"",False
74,0,,,,,,,0,,,,0,,"",False
75,0,,,,,,,0,,,,0,,"",False
76,0,,,,,,,0,,,,0,,"",False
77,0,,,,,,,0,,,,0,,"",False
78,5,"方形步",,,,,,12,"演技教材·方形步",,,0,,"",False
79,5,"侧步",,,,,,12,"演技教材·侧步",,,0,,"",False
80,5,"幻想舞步",,,,,,12,"演技教材·幻想舞步",,,0,,"",False
81,5,"波波托步",,,,,,12,"演技教材·波波托步",,,0,,"",False
82,0,,,,,,,0,,,,0,,"",False
83,0,,,,,,,0,,,,0,,"",False
84,0,,,,,,,0,,,,0,,"",False
85,5,"火焰之舞",,,,,,6,"演技教材·火焰之舞",,,0,,"",False
86,0,,,,,,,0,,,,0,,"",False
87,0,,,,,,,0,,,,0,,"",False
88,0,,,,,,,0,,,,0,,"",False
89,0,,,,,,,0,,,,0,,"",False
90,0,,,,,,,0,,,,0,,"",False
91,0,,,,,,,0,,,,0,,"",False
92,0,,,,,,,0,,,,0,,"",False
93,0,,,,,,,0,,,,0,,"",False
94,0,,,,,,,0,,,,0,,"",False
95,5,"振作精神",,,,,,7,"演技教材·振作精神",,,0,,"",False
96,5,"好冷",,,,,,7,"演技教材·好冷",,,0,,"",False
97,5,"说明计划",,,,,,7,"演技教材·说明计划",,,0,,"",False
98,0,,,,,,,0,,,,0,,"",False
99,0,,,,,,,0,,,,0,,"",False
100,0,,,,,,,0,,,,0,,"",False
101,0,,,,,,,0,,,,0,,"",False
102,5,"确认",,,,,,7,"演技教材·确认",,,0,,"",False
103,5,"吃苹果",,,,,,7,"演技教材·吃苹果",,,1,"仰望天穹之街","推进“苍穹之禁城”的支线任务进度后解锁获取条件",False
104,5,"搓手",,,,,,7,"演技教材·搓手",,,0,,"",False
105,0,,,,,,,0,,,,0,,"",False
106,0,,,,,,,0,,,,0,,"",False
107,5,"胡鹰之舞",,,,,,17,,,,1," 比赛吧鲶鱼精","推进“红莲之狂潮”的友好部族任务进度后解锁获取条件",False
108,5,"啦哩吼舞",,,,,,17,,,,1," 守护诺弗兰特的和平！","推进“暗影之逆焰”的友好部族任务进度后解锁获取条件",False
109,0,,,,,,,0,,,,0,,"",False
110,0,,,,,,,0,,,,0,,"",False
111,0,,,,,,,0,,,,0,,"",False
112,5,"对拳",,,,,,8,"演技教材·对拳",,,0,,"",True
113,5,"深蹲",,,,,,11,"可靠的队长1",,,1,"遗失的挑战笔记","推进“重生之境”的支线任务进度后解锁获取条件",False
114,5,"俯卧撑",,,,,,11,"可靠的队长1",,,1,"遗失的挑战笔记","推进“重生之境”的支线任务进度后解锁获取条件",False
115,5,"仰卧起坐",,,,,,11,"可靠的队长1",,,1,"遗失的挑战笔记","推进“重生之境”的支线任务进度后解锁获取条件",False
116,5,"深呼吸",,,,,,11,"可靠的队长1",,,1,"遗失的挑战笔记","推进“重生之境”的支线任务进度后解锁获取条件",False
