key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
int32,CharaCardBase,CharaCardHeader,CharaCardHeader,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,uint16,str
0,"なし","无","无","无","无","无","无","无",0,"自定义"
1,"黑色","半透明：黑色","无","阴影","光泽","无","无","无",1,"基础"
2,"白色","渐变色：紫色","渐变色：紫色","阴影","四边形","无","无","无",2,"简约"
3,"半透明","半透明：深蓝色","半透明：深蓝色","涂料","无","无","无","无",3,"时尚"
4,"紫色","渐变色：紫色","渐变色：紫色","圆点","圆点","无","无","无",4,"圆点"
5,"渐变色：防护职业","无","半透明：黑色","阴影","角花","职业标签：防护职业","无","无",5,"职能：防护职业"
6,"渐变色：进攻职业","无","半透明：黑色","阴影","角花","职业标签：进攻职业","无","无",7,"职能：进攻职业"
7,"渐变色：治疗职业","无","半透明：黑色","阴影","角花","职业标签：治疗职业","无","无",6,"职能：治疗职业"
8,"渐变色：进攻职业","长枪","长枪","书籍","菱形","简易边框：金属","利姆萨·罗敏萨","羽毛笔",8,"利姆萨·罗敏萨"
9,"米黄色","木板","木板","书籍","菱形","简易边框：金属","格里达尼亚","羽毛笔",9,"格里达尼亚"
10,"半透明","乳白色","乳白色","书籍","菱形","简易边框：金属","乌尔达哈","羽毛笔",10,"乌尔达哈"
11,"乳白色","木质纹理","木质纹理","金属看板","羊皮纸","简易边框：金属","金属","记事贴",11,"勘探者"
12,"乳白色","卷轴","卷轴","手册","羊皮纸","剪贴簿","金属","地图",12,"冒险家"
13,"巴哈姆特绝境战","巴哈姆特绝境战","无","巴哈姆特绝境战","无","巴哈姆特绝境战","巴哈姆特绝境战","巴哈姆特绝境战",2500,"巴哈姆特绝境战"
14,"究极神兵绝境战","究极神兵绝境战","无","究极神兵绝境战","无","究极神兵绝境战","究极神兵绝境战","究极神兵绝境战",2501,"究极神兵绝境战"
15,"亚历山大绝境战","亚历山大绝境战","无","亚历山大绝境战","无","亚历山大绝境战","亚历山大绝境战","亚历山大绝境战",2502,"亚历山大绝境战"
16,"幻想龙诗绝境战","幻想龙诗绝境战","无","幻想龙诗绝境战","无","幻想龙诗绝境战","幻想龙诗绝境战","幻想龙诗绝境战",2503,"幻想龙诗绝境战"
17,"白色","无","无","无","多变迷宫：希拉狄哈水道","多变迷宫：希拉狄哈水道","无","无",2400,"多变迷宫：希拉狄哈水道"
18,"友好部族任务：奥密克戎族","友好部族任务：奥密克戎族","友好部族任务：奥密克戎族","无","无","无","无","友好部族任务：奥密克戎族",2310,"友好部族任务：奥密克戎族"
19,"几何图形：圆形","无","无","无","无","无","折线","无",13,"几何图形：圆形"
20,"咖啡时间","无","无","无","咖啡厅","无","无","咖啡厅",14,"咖啡厅"
21,"音乐","音乐","音乐","无","无","无","无","小提琴",15,"音乐"
22,"友好部族任务：仙子族","友好部族任务：仙子族","友好部族任务：仙子族","无","无","无","无","友好部族任务：仙子族",2306,"友好部族任务：仙子族"
23,"友好部族任务：奇塔利族","友好部族任务：奇塔利族","友好部族任务：奇塔利族","无","无","无","无","友好部族任务：奇塔利族",2307,"友好部族任务：奇塔利族"
24,"友好部族任务：矮人族","友好部族任务：矮人族","友好部族任务：矮人族","无","无","无","无","友好部族任务：矮人族",2308,"友好部族任务：矮人族"
25,"友好部族任务：悌阳象族","友好部族任务：悌阳象族","友好部族任务：悌阳象族","无","无","无","无","友好部族任务：悌阳象族",2309,"友好部族任务：悌阳象族"
26,"友好部族任务：兔兔族","友好部族任务：兔兔族","友好部族任务：兔兔族","无","无","无","无","友好部族任务：兔兔族",2311,"友好部族任务：兔兔族"
27,"欧米茄绝境验证战","欧米茄绝境验证战","无","欧米茄绝境验证战","无","欧米茄绝境验证战","欧米茄绝境验证战","欧米茄绝境验证战",2504,"欧米茄绝境验证战"
28,"深层迷宫：正统优雷卡1","无","无","无","无","深层迷宫：正统优雷卡1","无","无",2354,"深层迷宫：正统优雷卡1"
29,"深层迷宫：正统优雷卡2","无","无","无","无","深层迷宫：正统优雷卡2","无","无",2355,"深层迷宫：正统优雷卡2"
30,"第七星历编年史：四圣兽奇谭","无","无","无","无","无","第七星历编年史：四圣兽奇谭","无",2251,"第七星历编年史：四圣兽奇谭"
31,"开拓无人岛1","无","无","无","无","无","开拓无人岛1","开拓无人岛1",2340,"开拓无人岛1"
32,"开拓无人岛2","无","无","无","无","无","开拓无人岛2","开拓无人岛2",2341,"开拓无人岛2"
33,"友好部族任务：甲人族","友好部族任务：甲人族","友好部族任务：甲人族","无","无","无","无","友好部族任务：甲人族",2303,"友好部族任务：甲人族"
34,"友好部族任务：阿难陀族","友好部族任务：阿难陀族","友好部族任务：阿难陀族","无","无","无","无","友好部族任务：阿难陀族",2304,"友好部族任务：阿难陀族"
35,"友好部族任务：鲶鱼精族","友好部族任务：鲶鱼精族","友好部族任务：鲶鱼精族","无","无","无","无","友好部族任务：鲶鱼精族",2305,"友好部族任务：鲶鱼精族"
36,"なし","无","无","无","无","无","无","无",0,""
37,"なし","无","无","无","无","无","无","无",0,""
38,"白色","无","无","无","多变迷宫：六根山","多变迷宫：六根山","无","无",2401,"多变迷宫：六根山"
39,"海钓爱好者","海钓爱好者","无","海钓爱好者","无","海钓爱好者","海钓爱好者","海钓爱好者",2342,"海钓爱好者"
40,"愿者上钩","愿者上钩","无","愿者上钩","无","愿者上钩","愿者上钩","愿者上钩",2343,"愿者上钩"
41,"运筹帷幄","运筹帷幄","运筹帷幄","运筹帷幄","无","无","运筹帷幄","运筹帷幄",2350,"运筹帷幄"
42,"友好部族任务：瓦努族","友好部族任务：瓦努族","友好部族任务：瓦努族","无","无","无","无","友好部族任务：瓦努族",2300,"友好部族任务：瓦努族"
43,"友好部族任务：骨颌族","友好部族任务：骨颌族","友好部族任务：骨颌族","无","无","无","无","友好部族任务：骨颌族",2301,"友好部族任务：骨颌族"
44,"友好部族任务：莫古力族","友好部族任务：莫古力族","友好部族任务：莫古力族","无","无","无","无","友好部族任务：莫古力族",2302,"友好部族任务：莫古力族"
45,"艾欧泽亚神话：哈罗妮","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2252,"艾欧泽亚神话：哈罗妮"
46,"艾欧泽亚神话：梅茵菲娜","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2253,"艾欧泽亚神话：梅茵菲娜"
47,"艾欧泽亚神话：沙利亚克","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2254,"艾欧泽亚神话：沙利亚克"
48,"艾欧泽亚神话：妮美雅","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2255,"艾欧泽亚神话：妮美雅"
49,"艾欧泽亚神话：利姆莱茵","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2256,"艾欧泽亚神话：利姆莱茵"
50,"艾欧泽亚神话：奥修昂","艾欧泽亚神话","无","无","无","艾欧泽亚神话","艾欧泽亚神话","艾欧泽亚神话",2257,"艾欧泽亚神话：奥修昂"
