key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Item,Theme[0],Theme[1],,Material[0],Amount[0],Material[1],Amount[1],Material[2],Amount[2],Material[3],Amount[3],LevelReq,CraftingTime,Value
int32,Item,MJICraftworksObjectTheme,MJICraftworksObjectTheme,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,uint16,uint16,uint16
0,"","","",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,"无人岛棕榈叶",0,0,0,0
1,"海岛恢复药","药品","",0,"无人岛棕榈叶",2,"无人岛草叶",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,28
2,"开拓工房火药","药品","窑炉制品",0,"无人岛砂砾",2,"无人岛石灰岩",1,"无人岛草叶",1,"无人岛棕榈叶",0,1,4,28
3,"海岛座椅","家具","木工制品",0,"无人岛原木",4,"无人岛藤蔓",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,6,42
4,"开拓工房烤扇贝","菜肴","海产制品",0,"无人岛双壳贝",2,"无人岛球藻",2,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,28
5,"海岛木制项链","饰品","木工制品",0,"无人岛小树枝",3,"无人岛藤蔓",1,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,28
6,"海岛珊瑚戒指","饰品","海产制品",0,"无人岛珊瑚",3,"无人岛藤蔓",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,6,42
7,"海岛开面盔","防具","金属制品",0,"无人岛铜矿",3,"无人岛砂砾",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,6,42
8,"海岛石刃棒","武器","木工制品",0,"无人岛棕榈原木",3,"无人岛石材",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,6,42
9,"开拓工房酸泡菜","耐储存食品","",0,"海岛甘蓝",1,"无人岛岩盐",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,40
10,"开拓工房烤南瓜","菜肴","",0,"海岛南瓜",1,"无人岛树液",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,40
11,"海岛束腰衣","防具","纺织制品",0,"牧场动物的绒毛",2,"无人岛藤蔓",4,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,6,72
12,"海岛厨刀","日用品","动物制品",0,"牧场动物的尖爪",1,"无人岛棕榈原木",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,44
13,"海岛木刷","日用品","木工制品",0,"牧场动物的兽毛",1,"无人岛棕榈原木",3,"无人岛棕榈叶",0,"无人岛棕榈叶",0,1,4,44
