key,0,1,2,3,4
#,Item,Currency,Count,Category,Sort
int32,MJIItemPouch,byte,uint16,MJIDisposalShopUICategory,byte
0,"无人岛棕榈叶",1,3,"开拓素材",1
1,"无人岛苹果",1,3,"开拓素材",11
2,"无人岛小树枝",1,3,"开拓素材",2
3,"无人岛石材",1,3,"开拓素材",3
4,"无人岛双壳贝",1,3,"开拓素材",4
5,"无人岛球藻",1,3,"开拓素材",5
6,"无人岛珊瑚",1,3,"开拓素材",6
7,"无人岛草叶",1,3,"开拓素材",7
8,"无人岛砂砾",1,3,"开拓素材",8
9,"无人岛原木",1,3,"开拓素材",12
10,"无人岛棕榈原木",1,3,"开拓素材",13
11,"无人岛藤蔓",1,3,"开拓素材",9
12,"无人岛树液",1,3,"开拓素材",10
13,"无人岛铜矿",1,3,"开拓素材",14
14,"无人岛石灰岩",1,3,"开拓素材",15
15,"无人岛岩盐",1,3,"开拓素材",16
16,"无人岛甘蔗",1,3,"开拓素材",19
17,"无人岛棉花",1,3,"开拓素材",20
18,"无人岛麻",1,3,"开拓素材",21
19,"无人岛黏土",1,3,"开拓素材",17
20,"无人岛锡砂",1,3,"开拓素材",18
21,"无人岛铁矿",1,3,"开拓素材",25
22,"无人岛石英",1,3,"开拓素材",26
23,"无人岛花岗岩",1,3,"开拓素材",27
24,"无人岛海水鱼",1,3,"开拓素材",22
25,"无人岛乌贼",1,3,"开拓素材",23
26,"无人岛水母",1,3,"开拓素材",24
27,"无人岛香荠",0,25,"稀少开拓素材",100
28,"无人岛石榴石原石",0,25,"稀少开拓素材",101
29,"无人岛云杉原木",0,25,"稀少开拓素材",102
30,"无人岛锤头鲨",0,25,"稀少开拓素材",103
31,"无人岛银矿",0,25,"稀少开拓素材",104
32,"海岛新薯",0,5,"开拓作物",150
33,"海岛甘蓝",0,4,"开拓作物",151
34,"海岛莓果",0,6,"开拓作物",152
35,"海岛南瓜",0,4,"开拓作物",153
36,"海岛洋葱",0,6,"开拓作物",154
37,"海岛番茄",0,6,"开拓作物",155
38,"海岛小麦",0,6,"开拓作物",156
39,"海岛玉米",0,6,"开拓作物",157
40,"海岛高山萝卜",0,5,"开拓作物",158
41,"海岛小萝卜",0,6,"开拓作物",159
42,"牧场动物的绒毛",0,12,"畜牧素材",200
43,"牧场动物的尖爪",0,12,"畜牧素材",201
44,"牧场动物的兽毛",0,12,"畜牧素材",202
45,"牧场动物的羽毛",0,12,"畜牧素材",203
46,"牧场动物的鸟蛋",0,12,"畜牧素材",204
47,"牧场动物的甲壳",0,12,"畜牧素材",205
48,"牧场动物的尖牙",0,12,"畜牧素材",206
49,"牧场动物的角片",0,12,"畜牧素材",207
50,"牧场动物的乳汁",0,12,"畜牧素材",208
51,"无人岛天然树脂",1,3,"开拓素材",29
52,"无人岛椰子",1,3,"开拓素材",30
53,"无人岛蜂巢",1,3,"开拓素材",31
54,"无人岛木化石",1,3,"开拓素材",32
55,"无人岛色彩缤纷的花",1,3,"开拓素材",28
56,"海岛红辣椒",0,6,"开拓作物",160
57,"海岛韭葱",0,6,"开拓作物",161
58,"无人岛石炭",1,3,"开拓素材",33
59,"无人岛堆积岩",1,3,"开拓素材",36
60,"无人岛灯火茸",1,3,"开拓素材",34
61,"无人岛大理石",1,3,"开拓素材",37
62,"无人岛灵银矿",1,3,"开拓素材",38
63,"无人岛发泡水",1,3,"开拓素材",35
64,"无人岛幻影石",1,3,"开拓素材",39
65,"无人岛长臂虾",0,25,"稀少开拓素材",105
66,"海岛花豆",0,6,"开拓作物",162
67,"海岛红菜",0,6,"开拓作物",163
68,"海岛茄子",0,6,"开拓作物",164
69,"海岛西葫芦",0,6,"开拓作物",165
70,"无人岛翠银沙",1,3,"开拓素材",40
71,"无人岛黄铜矿",1,3,"开拓素材",41
72,"无人岛金矿",1,3,"开拓素材",42
73,"无人岛鹰眼砂",1,3,"开拓素材",43
74,"无人岛水晶层",1,3,"开拓素材",44
75,"海岛西瓜",0,6,"开拓作物",166
76,"海岛甜新薯",0,6,"开拓作物",167
77,"海岛西兰花",0,6,"开拓作物",168
78,"海岛水牛豆",0,6,"开拓作物",169
