key,0,1,2,3,4,5,6
#,Item,Sort,Tool,X,Y,Radius,Map
int32,Item,byte,MJIGatheringTool,int16,int16,uint16,byte
0,"",0,"MJIGatheringTool#0",0,0,0,0
1,"无人岛棕榈叶",0,"MJIGatheringTool#0",20,0,100,0
2,"无人岛苹果",21,"MJIGatheringTool#1",194,72,100,0
3,"无人岛小树枝",6,"MJIGatheringTool#0",215,82,100,0
4,"无人岛石材",8,"MJIGatheringTool#0",-22,-46,80,0
5,"无人岛双壳贝",9,"MJIGatheringTool#0",-58,-694,150,0
6,"无人岛球藻",10,"MJIGatheringTool#0",765,16,100,0
7,"无人岛珊瑚",11,"MJIGatheringTool#0",765,16,100,0
8,"无人岛草叶",2,"MJIGatheringTool#0",-248,-592,100,0
9,"无人岛砂砾",5,"MJIGatheringTool#0",236,88,75,0
10,"无人岛原木",23,"MJIGatheringTool#1",215,82,100,0
11,"无人岛棕榈原木",24,"MJIGatheringTool#1",20,0,100,0
12,"无人岛藤蔓",1,"MJIGatheringTool#0",194,72,100,0
13,"无人岛树液",7,"MJIGatheringTool#0",144,11,100,0
14,"无人岛铜矿",42,"MJIGatheringTool#2",619,213,80,0
15,"无人岛石灰岩",41,"MJIGatheringTool#2",-22,-46,80,0
16,"无人岛岩盐",43,"MJIGatheringTool#2",685,-156,75,0
17,"无人岛甘蔗",81,"MJIGatheringTool#4",-9,-344,75,0
18,"无人岛棉花",82,"MJIGatheringTool#4",476,246,75,0
19,"无人岛麻",83,"MJIGatheringTool#4",556,-11,100,0
20,"无人岛黏土",61,"MJIGatheringTool#3",236,89,75,0
21,"无人岛锡砂",62,"MJIGatheringTool#3",12,-140,75,0
22,"无人岛铁矿",121,"MJIGatheringTool#6",489,-249,100,0
23,"无人岛石英",123,"MJIGatheringTool#6",392,-360,200,0
24,"无人岛花岗岩",122,"MJIGatheringTool#6",603,-667,125,0
25,"无人岛海水鱼",101,"MJIGatheringTool#5",-58,-694,150,0
26,"无人岛乌贼",102,"MJIGatheringTool#5",765,16,100,0
27,"无人岛水母",103,"MJIGatheringTool#5",765,16,100,0
28,"海岛新薯的芽块",63,"MJIGatheringTool#3",-248,-592,100,0
29,"海岛甘蓝的种子",3,"MJIGatheringTool#0",-25,-198,75,0
30,"海岛高山萝卜的种子",64,"MJIGatheringTool#3",-224,-460,100,0
31,"海岛南瓜的种子",4,"MJIGatheringTool#0",35,110,75,0
32,"无人岛天然树脂",140,"MJIGatheringTool#7",215,82,100,0
33,"无人岛椰子",141,"MJIGatheringTool#7",20,0,100,0
34,"无人岛蜂巢",142,"MJIGatheringTool#7",194,72,100,0
35,"无人岛木化石",143,"MJIGatheringTool#7",144,11,100,0
36,"无人岛色彩缤纷的花",130,"MJIGatheringTool#0",194,-384,75,0
37,"无人岛石炭",151,"MJIGatheringTool#2",405,-238,80,1
38,"无人岛堆积岩",155,"MJIGatheringTool#8",405,-238,80,1
39,"无人岛灯火茸",150,"MJIGatheringTool#0",458,-370,80,1
40,"无人岛大理石",153,"MJIGatheringTool#8",-22,-46,80,0
41,"无人岛灵银矿",154,"MJIGatheringTool#8",619,213,80,0
42,"无人岛发泡水",152,"MJIGatheringTool#2",304,-269,80,1
43,"无人岛幻影石",156,"MJIGatheringTool#8",304,-269,80,1
44,"无人岛翠银沙",161,"MJIGatheringTool#9",489,-249,100,0
45,"无人岛黄铜矿",160,"MJIGatheringTool#6",276,-133,75,1
46,"无人岛金矿",162,"MJIGatheringTool#9",276,-133,75,1
47,"无人岛鹰眼砂",163,"MJIGatheringTool#0",276,-133,75,1
48,"无人岛水晶层",164,"MJIGatheringTool#10",276,-133,75,1
