key,0,1,2
#,Icon,,Name
int32,Image,byte,str
0,,0,""
1,"ui/icon/061000/061201.tex",1,"攻击1"
2,"ui/icon/061000/061202.tex",2,"攻击2"
3,"ui/icon/061000/061203.tex",3,"攻击3"
4,"ui/icon/061000/061204.tex",4,"攻击4"
5,"ui/icon/061000/061205.tex",5,"攻击5"
6,"ui/icon/061000/061211.tex",9,"止步1"
7,"ui/icon/061000/061212.tex",10,"止步2"
8,"ui/icon/061000/061213.tex",11,"止步3"
9,"ui/icon/061000/061221.tex",12,"禁止1"
10,"ui/icon/061000/061222.tex",13,"禁止2"
11,"ui/icon/061000/061231.tex",14,"方块"
12,"ui/icon/061000/061232.tex",15,"圆圈"
13,"ui/icon/061000/061233.tex",16,"十字"
14,"ui/icon/061000/061234.tex",17,"三角"
15,"ui/icon/061000/061206.tex",6,"攻击6"
16,"ui/icon/061000/061207.tex",7,"攻击7"
17,"ui/icon/061000/061208.tex",8,"攻击8"
