key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
#,Number,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],Item{Ingredient}[8],Amount{Ingredient}[8],Item{Ingredient}[9],Amount{Ingredient}[9],RecipeNotebookList,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredQuality,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,IsExpert,,,PatchNumber
int32,int32,CraftType,RecipeLevelTable,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,RecipeNotebookList,bit&01,byte,uint16,uint16,uint16,uint32,uint16,uint16,uint16,uint16,SecretRecipeBook,Quest,bit&02,bit&04,bit&08,Status,Item,bit&10,bit&20,byte,uint16,uint16
0,0,"木工","RecipeLevelTable#0","",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,,0,,0,"RecipeNotebookList#0",False,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
1,1,"锻冶","RecipeLevelTable#1","青铜锭",1,"铜矿",2,"锡矿",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,,0,"RecipeNotebookList#0",False,0,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
2,3,"锻冶","RecipeLevelTable#1","青铜手斧",1,"青铜锭",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
3,3,"锻冶","RecipeLevelTable#2","青铜手半剑",1,"青铜锭",1,"枫木木材",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
4,3,"锻冶","RecipeLevelTable#2","业余锉刀",1,"青铜锭",2,"鞣革",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
5,1,"锻冶","RecipeLevelTable#3","青铜铆钉",1,"青铜锭",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,,0,"RecipeNotebookList#0",False,50,50,80,67,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
6,3,"锻冶","RecipeLevelTable#3","青铜战斧",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
7,3,"锻冶","RecipeLevelTable#3","业余手钳",1,"青铜锭",1,"青铜铆钉",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
8,3,"锻冶","RecipeLevelTable#4","业余平斩",1,"青铜锭",1,"枫木木材",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
9,3,"锻冶","RecipeLevelTable#4","青铜手锯",1,"青铜锭",1,"青铜铆钉",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
10,3,"锻冶","RecipeLevelTable#5","业余羊角锤",1,"青铜锭",1,"枫木木材",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
11,3,"锻冶","RecipeLevelTable#5","青铜横头锤",1,"青铜锭",1,"草布",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
12,3,"锻冶","RecipeLevelTable#5","青铜铸甲锤",1,"青铜锭",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
13,3,"锻冶","RecipeLevelTable#6","业余厨刀",1,"青铜锭",1,"枫木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
14,3,"锻冶","RecipeLevelTable#6","业余研钵",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
15,3,"锻冶","RecipeLevelTable#7","青铜维京剑",1,"青铜锭",1,"鞣革",1,"骨片",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
16,3,"锻冶","RecipeLevelTable#7","青铜雕金锤",1,"青铜锭",1,"青铜铆钉",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
17,3,"锻冶","RecipeLevelTable#7","青铜双刃斧",1,"青铜锭",2,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
18,3,"锻冶","RecipeLevelTable#8","青铜鹤嘴锄",1,"青铜锭",1,"草布",1,"枫木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
19,3,"锻冶","RecipeLevelTable#8","青铜裁皮刀",1,"青铜锭",1,"枫木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
20,3,"锻冶","RecipeLevelTable#9","阴云战斧",1,"青铜战斧",1,"青铜锭",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
21,3,"锻冶","RecipeLevelTable#9","青铜羊角锤",1,"青铜锭",1,"枫木木材",1,"鱼油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
22,3,"锻冶","RecipeLevelTable#10","青铜锉刀",1,"青铜锭",2,"硬革",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
23,3,"锻冶","RecipeLevelTable#10","青铜手钳",1,"青铜锭",1,"青铜铆钉",1,"丁香油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
24,3,"锻冶","RecipeLevelTable#10","青铜研钵",1,"青铜锭",2,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
25,3,"锻冶","RecipeLevelTable#10","业余横头锤",1,"青铜锭",1,"草布",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
26,3,"锻冶","RecipeLevelTable#10","业余雕金锤",1,"青铜锭",1,"青铜铆钉",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
27,3,"锻冶","RecipeLevelTable#11","青铜平斩",1,"青铜锭",1,"梣木木材",1,"水母油",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
28,3,"锻冶","RecipeLevelTable#11","青铜镰刀",1,"青铜锭",1,"梣木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
29,3,"锻冶","RecipeLevelTable#11","业余铸甲锤",1,"青铜锭",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
30,3,"锻冶","RecipeLevelTable#11","业余鹤嘴锄",1,"青铜锭",1,"草布",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
31,3,"锻冶","RecipeLevelTable#11","业余裁皮刀",1,"青铜锭",1,"梣木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
32,3,"锻冶","RecipeLevelTable#12","青铜厨刀",1,"青铜锭",1,"梣木木材",1,"砂岩磨刀石",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
33,3,"锻冶","RecipeLevelTable#12","青铜碎石锤",1,"青铜锭",1,"梣木木材",1,"黏胶",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
34,3,"锻冶","RecipeLevelTable#12","业余手锯",1,"青铜锭",1,"青铜铆钉",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
35,3,"锻冶","RecipeLevelTable#12","业余手斧",1,"青铜锭",1,"梣木木材",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
36,3,"锻冶","RecipeLevelTable#12","青铜装饰锤",1,"业余雕金锤",1,"青铜铆钉",2,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,150,75,100,0,0,0,0,0,"",,False,True,True,"","",False,False,0,65535,0
37,3,"锻冶","RecipeLevelTable#13","青铜指虎",1,"青铜锭",2,"硬革",1,"",0,"",0,"",0,"",0,"",0,"",0,"火之碎晶",1,"土之碎晶",1,"RecipeNotebookList#0",True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",False,False,0,65535,0
